CREATE TABLE IF NOT EXISTS `ressource_idole` (
  `ID_idle` int(11) NOT NULL,
  `ID_ress` int(11) DEFAULT NULL,
  `nbre` int(11) DEFAULT NULL
);
INSERT INTO `ressource_idole` (`ID_idle`, `ID_ress`, `nbre`) VALUES
(1, 358, 2),
(2, 9, 2),
(3, 39, 2),
(4, 48, 2),
(5, 349, 2),
(6, 66, 2),
(7, 65, 2),
(8, 33, 2),
(9, 44, 2),
(10, 11, 2),
(11, 354, 2),
(12, 42, 2),
(13, 24, 2),
(14, 61, 2),
(15, 35, 2),
(16, 62, 2),
(17, 350, 2),
(18, 14, 2),
(19, 22, 2),
(20, 42, 2),
(21, 65, 2),
(22, 30, 2),
(23, 40, 2),
(24, 19, 2),
(25, 45, 2),
(26, 351, 2),
(27, 59, 2),
(28, 70, 2),
(29, 61, 2),
(30, 31, 2),
(31, 57, 2),
(32, 23, 2),
(33, 111, 1),
(34, 28, 2),
(35, 58, 2),
(36, 352, 2),
(37, 15, 2),
(38, 13, 2),
(39, 353, 2),
(40, 50, 2),
(41, 51, 2),
(42, 15, 2),
(43, 33, 2),
(44, 14, 2),
(45, 49, 2),
(46, 47, 2),
(47, 61, 2),
(48, 38, 2),
(49, 354, 2),
(50, 34, 2),
(51, 355, 2),
(52, 41, 2),
(53, 55, 2),
(54, 356, 2),
(55, 65, 2),
(56, 46, 2),
(57, 37, 2),
(58, 27, 2),
(59, 350, 2),
(60, 24, 2),
(61, 61, 2),
(62, 54, 2),
(63, 20, 2),
(64, 59, 2),
(65, 38, 2),
(66, 46, 2),
(67, 353, 2),
(68, 12, 2),
(69, 52, 2),
(70, 15, 2),
(71, 15, 2),
(72, 10, 2),
(73, 68, 2),
(74, 29, 2),
(75, 17, 2),
(76, 10, 2),
(77, 60, 2),
(78, 29, 2),
(79, 56, 2),
(80, 26, 2),
(81, 28, 2),
(82, 16, 2),
(83, 26, 2),
(84, 38, 2),
(85, 46, 2),
(86, 357, 2),
(87, 36, 2),
(88, 63, 2),
(89, 64, 2),
(1, 104, 2),
(2, 116, 4),
(3, 102, 2),
(4, 121, 4),
(5, 118, 4),
(6, 106, 2),
(7, 115, 4),
(8, 106, 2),
(9, 120, 4),
(10, 101, 2),
(11, 108, 2),
(12, 105, 2),
(13, 119, 4),
(14, 114, 4),
(15, 119, 4),
(16, 123, 4),
(17, 105, 2),
(18, 108, 2),
(19, 107, 2),
(20, 105, 2),
(21, 104, 2),
(22, 124, 4),
(23, 107, 2),
(24, 101, 2),
(25, 124, 4),
(26, 101, 2),
(27, 120, 4),
(28, 104, 2),
(29, 103, 2),
(30, 101, 2),
(31, 107, 2),
(32, 115, 4),
(33, 77, 1),
(34, 108, 2),
(35, 105, 2),
(36, 119, 4),
(37, 103, 2),
(38, 120, 4),
(39, 108, 2),
(40, 359, 4),
(41, 119, 4),
(42, 114, 4),
(43, 106, 2),
(44, 121, 4),
(45, 105, 2),
(46, 119, 4),
(47, 114, 4),
(48, 104, 2),
(49, 121, 4),
(50, 360, 2),
(51, 102, 2),
(52, 119, 4),
(53, 116, 4),
(54, 120, 4),
(55, 115, 4),
(56, 118, 4),
(57, 116, 4),
(58, 108, 2),
(59, 359, 4),
(60, 102, 2),
(61, 103, 2),
(62, 120, 4),
(63, 116, 4),
(64, 107, 2),
(65, 104, 2),
(66, 118, 4),
(67, 121, 4),
(68, 359, 4),
(69, 102, 2),
(70, 114, 4),
(71, 103, 2),
(72, 115, 4),
(73, 123, 4),
(74, 107, 2),
(75, 116, 4),
(76, 115, 4),
(77, 124, 4),
(78, 120, 4),
(79, 101, 2),
(80, 107, 2),
(81, 121, 4),
(82, 101, 2),
(83, 120, 4),
(84, 115, 4),
(85, 103, 2),
(86, 102, 2),
(87, 123, 4),
(88, 359, 4),
(89, 108, 2),
(1, 148, 10),
(2, 221, 10),
(3, 110, 1),
(4, 361, 10),
(5, 294, 10),
(6, 110, 3),
(7, 110, 1),
(8, 110, 3),
(9, 110, 2),
(10, 92, 10),
(11, 314, 10),
(12, 110, 2),
(13, 110, 1),
(14, 343, 10),
(15, 110, 1),
(16, 110, 3),
(17, 110, 2),
(18, 240, 10),
(19, 110, 2),
(20, 110, 2),
(21, 110, 1),
(22, 110, 3),
(23, 110, 2),
(24, 97, 1),
(25, 110, 3),
(26, 278, 10),
(27, 110, 2),
(28, 110, 1),
(29, 333, 10),
(30, 225, 1),
(31, 110, 2),
(32, 110, 1),
(33, 79, 1),
(34, 173, 1),
(35, 110, 2),
(36, 110, 1),
(37, 229, 10),
(38, 110, 2),
(39, 362, 13),
(40, 110, 2),
(41, 110, 1),
(42, 146, 1),
(43, 110, 3),
(44, 282, 10),
(45, 110, 2),
(46, 110, 1),
(47, 363, 10),
(48, 110, 1),
(49, 364, 10),
